대여소명,대여소번호,이용거리(M),이용건수,이용시간(분)
까치산역 3번 출구,2737,10716869.34,4842,104940
꿈마루어린이도서관 앞,680,11944123.84,4500,104983
꿈의숲 SK뷰 아파트,4024,15032727.15,5633,114679
꿈의숲 롯데캐슬,1547,6344673.7,2872,51470
나들목공원,2172,9653083.25,3230,75647
나루마당,3564,3403428.38,1517,32305
나이아가라관광호텔,3761,15042402.95,4395,117094
낙성대 과학전시관,2129,4099712.88,2215,38029
낙성대 교수아파트,3806,2823750.98,1440,23487
낙성대공원,3804,2912197.63,1456,36268
낙성대로 입구,2122,7640776.89,3806,75486
낙성대역 1번출구,2167,9318243.72,3648,80411
낙성대역 3번출구 뒤,2148,9923917.88,4633,93025
낙성대역 5번출구,3813,6235852.08,3059,56683
낙성대입구삼거리,2186,8953439.08,4201,75617
낙원교회 맞은편,1910,4508693.16,2343,41274
낙원상가 옆,327,10303396.23,5691,110597
난곡사거리,3814,8462535.92,4128,87730
난곡종점,2127,8403643.89,3033,59786
난우길입구,2144,9822984.18,3785,89916
남가좌동 제2공영주차장,3126,3930947.4899999998,1334,29494
남구로역 5번 출입구 앞,1976,7002832.01,3556,72031
남부고용노동지청 남측,231,8555129.35,4746,92483
남부법원검찰청 교차로,704,10588709.02,6229,110002
남부순환로 205,3770,9919282.51,5240,81661
남부터미널역 1번출구,2297,9320815.25,3824,83496
남산공원 야외식물원 앞,859,2628836.64,750,20873
남산도서관 앞,4621,8831336.76,2972,77149
남산타운아파트 버스정류장,483,5765266.48,2161,48622
남서울중학교,3803,10169245.5,5344,96145
